record_id;month;day;year;city;country_id;tmp;country
474376;01;01;1853;Auckland;NEW;NA;New Zealand
474377;02;01;1853;Auckland;NEW;NA;New Zealand
474378;03;01;1853;Auckland;NEW;NA;New Zealand
474379;04;01;1853;Auckland;NEW;NA;New Zealand
474380;05;01;1853;Auckland;NEW;NA;New Zealand
474381;06;01;1853;Auckland;NEW;11,059;New Zealand
474382;07;01;1853;Auckland;NEW;11,327;New Zealand
474383;08;01;1853;Auckland;NEW;11,585;New Zealand
474384;09;01;1853;Auckland;NEW;11,432;New Zealand
474385;10;01;1853;Auckland;NEW;12,707;New Zealand
474386;11;01;1853;Auckland;NEW;13,716;New Zealand
474387;12;01;1853;Auckland;NEW;15,47;New Zealand
474388;01;01;1854;Auckland;NEW;18,106;New Zealand
474389;02;01;1854;Auckland;NEW;18,54;New Zealand
474390;03;01;1854;Auckland;NEW;18,316;New Zealand
474391;04;01;1854;Auckland;NEW;15,515;New Zealand
474392;05;01;1854;Auckland;NEW;14,169;New Zealand
474393;06;01;1854;Auckland;NEW;12,51;New Zealand
474394;07;01;1854;Auckland;NEW;11,773;New Zealand
474395;08;01;1854;Auckland;NEW;11,558;New Zealand
474396;09;01;1854;Auckland;NEW;11,884;New Zealand
474397;10;01;1854;Auckland;NEW;12,641;New Zealand
474398;11;01;1854;Auckland;NEW;14,065;New Zealand
474399;12;01;1854;Auckland;NEW;15,572;New Zealand
474400;01;01;1855;Auckland;NEW;17,421;New Zealand
474401;02;01;1855;Auckland;NEW;17,97;New Zealand
474402;03;01;1855;Auckland;NEW;17,588;New Zealand
474403;04;01;1855;Auckland;NEW;16,436;New Zealand
474404;05;01;1855;Auckland;NEW;14,446;New Zealand
474405;06;01;1855;Auckland;NEW;12,69;New Zealand
474406;07;01;1855;Auckland;NEW;11,753;New Zealand
474407;08;01;1855;Auckland;NEW;11,283;New Zealand
474408;09;01;1855;Auckland;NEW;11,45;New Zealand
474409;10;01;1855;Auckland;NEW;14,115;New Zealand
474410;11;01;1855;Auckland;NEW;14,531;New Zealand
474411;12;01;1855;Auckland;NEW;16,067;New Zealand
474412;01;01;1856;Auckland;NEW;16,579;New Zealand
474413;02;01;1856;Auckland;NEW;16,685;New Zealand
474414;03;01;1856;Auckland;NEW;16,737;New Zealand
474415;04;01;1856;Auckland;NEW;15,445;New Zealand
474416;05;01;1856;NA;;13,016;NA
474417;06;01;1856;Auckland;NEW;11,816;New Zealand
474418;07;01;1856;Auckland;NEW;10,517;New Zealand
474419;08;01;1856;Auckland;NEW;10,862;New Zealand
474420;09;01;1856;Auckland;NEW;11,583;New Zealand
474421;10;01;1856;Auckland;NEW;12,171;New Zealand
474422;11;01;1856;Auckland;NEW;13,103;New Zealand
474423;12;01;1856;Auckland;NEW;17,637;New Zealand
474424;01;01;1857;Auckland;NEW;17,536;New Zealand
474425;02;01;1857;Auckland;NEW;17,287;New Zealand
474426;03;01;1857;Auckland;NEW;16,747;New Zealand
474427;04;01;1857;Auckland;NEW;14,756;New Zealand
474428;05;01;1857;Auckland;NEW;12,113;New Zealand
474429;06;01;1857;Auckland;NEW;11,641;New Zealand
474430;07;01;1857;Auckland;NEW;11,482;New Zealand
474431;08;01;1857;Auckland;NEW;11,298;New Zealand
474432;09;01;1857;Auckland;NEW;11,853;New Zealand
474433;10;01;1857;Auckland;NEW;12,216;New Zealand
474434;11;01;1857;Auckland;NEW;13,589;New Zealand
474435;12;01;1857;Auckland;NEW;15,313;New Zealand
474436;01;01;1858;Auckland;NEW;16,139;New Zealand
474437;02;01;1858;Auckland;NEW;17,412;New Zealand
474438;03;01;1858;Auckland;NEW;17,114;New Zealand
474439;04;01;1858;Auckland;NEW;14,207;New Zealand
474440;05;01;1858;Auckland;NEW;12,802;New Zealand
474441;06;01;1858;Auckland;NEW;11,892;New Zealand
474442;07;01;1858;Auckland;NEW;10,578;New Zealand
474443;08;01;1858;Auckland;NEW;11,343;New Zealand
474444;09;01;1858;Auckland;NEW;11,966;New Zealand
474445;10;01;1858;Auckland;NEW;12,556;New Zealand
474446;11;01;1858;Auckland;NEW;14,03;New Zealand
474447;12;01;1858;Auckland;NEW;16,82;New Zealand
474448;01;01;1859;Auckland;NEW;18,104;New Zealand
474449;02;01;1859;Auckland;NEW;18,598;New Zealand
474450;03;01;1859;Auckland;NEW;17,266;New Zealand
474451;04;01;1859;Auckland;NEW;16,12;New Zealand
474452;05;01;1859;Auckland;NEW;14,115;New Zealand
474453;06;01;1859;NA;;12,433;NA
474454;07;01;1859;Auckland;NEW;11,502;New Zealand
474455;08;01;1859;Auckland;NEW;11,05;New Zealand
474456;09;01;1859;Auckland;NEW;11,289;New Zealand
474457;10;01;1859;Auckland;NEW;14,064;New Zealand
474458;11;01;1859;Auckland;NEW;14,775;New Zealand
474459;12;01;1859;Auckland;NEW;16,342;New Zealand
474460;01;01;1860;Auckland;NEW;18,466;New Zealand
474461;02;01;1860;Auckland;NEW;18,78;New Zealand
474462;03;01;1860;Auckland;NEW;17,616;New Zealand
474463;04;01;1860;Auckland;NEW;16,725;New Zealand
474464;05;01;1860;Auckland;NEW;14,618;New Zealand
474465;06;01;1860;Auckland;NEW;12,964;New Zealand
474466;07;01;1860;Auckland;NEW;11,446;New Zealand
474467;08;01;1860;Auckland;NEW;10,816;New Zealand
474468;09;01;1860;Auckland;NEW;11,656;New Zealand
474469;10;01;1860;Auckland;NEW;13,219;New Zealand
474470;11;01;1860;Auckland;NEW;15,604;New Zealand
474471;12;01;1860;Auckland;NEW;18,313;New Zealand
